Company,Funding ($M),OTE,Segment,HQ,Remote,RepVue,Industry,Job Posting URL
Maxio,150,,SMB/MM,Atlanta,Y,,SaaS billing & revenue,https://maxio.applytojob.com/apply/usMeWdgx3X
Hex,172,$220-240K,MM,San Francisco,Y,,Data science / analytics,https://hex.tech/careers/midmarket-account-executive/
Apollo.io,250,~$180K,MM,San Francisco,Y,85,Sales intelligence / GTM,https://job-boards.greenhouse.io/apolloio/jobs/6015562004
Bloomreach,422,$200-250K,MM,Mountain View,Y,89,E-commerce personalization,https://job-boards.greenhouse.io/bloomreach/jobs/7051101
Samsara,public,$152-190K,MM,San Francisco,Y,86,Fleet / IoT telematics,https://www.samsara.com/company/careers/roles/7609126?gh_jid=7609126
Lytx,769,$250-290K,MM,San Diego,Y,69,Fleet video telematics,https://lytx.wd1.myworkdayjobs.com/en-US/Lytx/job/Senior-Account-Executive--Mid-Market-_R-3981
Abnormal Security,534,~$170-200K,MM,San Francisco,Y,,Email / AI cybersecurity,https://job-boards.greenhouse.io/abnormalsecurity/jobs/7662284003
Sumo Logic,346,~$176-206K,MM,Redwood City,Y,,Cloud security / SIEM,https://job-boards.greenhouse.io/sumologic/jobs/7985960
Thoropass,98,$250-300K,MM,New York,Y,,GRC / SOC2 compliance,https://job-boards.greenhouse.io/thoropass/jobs/6001426004
Huntress,298,$160K,MM,Ellicott City MD,Y,,Managed cybersecurity / MDR,https://job-boards.greenhouse.io/huntress/jobs/7778495003
Lattice,206,$185-218K,MM,San Francisco,Y,,HR performance management,https://lattice.com/job?gh_jid=8599312002
Highspot,,$190-260K,MM,Seattle,Y,,Sales enablement / GTM platform,https://jobs.lever.co/highspot/12b7f6f1-6582-4288-911b-746e9c502665
Render,258,$200-330K,MM/Ent,San Francisco,Y,,Cloud app hosting / PaaS,https://jobs.ashbyhq.com/render/c6b1ea04-755d-46e8-b197-68c235aff85c
Vantage,25,$160-320K,MM/Ent,Brooklyn NY,Y,,Cloud cost / FinOps,https://jobs.ashbyhq.com/vantage/28a3b563-f10d-496c-bf8d-7c8ab1ad0aef
BILL,public,$160-227K (MM) / $224-329K (Ent),MM/Ent,San Jose,Y,81,AP/AR automation / payments,https://job-boards.greenhouse.io/billcom/jobs/6019000004
Customer.io,bootstrapped,~$190K,MM/Ent,Portland,Y,,Messaging / marketing automation,https://job-boards.greenhouse.io/customerio/jobs/7971675
Trunk Tools,70,,MM/Ent,New York,Y,,Construction AI / project mgmt,https://jobs.ashbyhq.com/Trunk%20Tools/374c4cef-f34d-47ec-892d-b219e8222a66
Eve,164,$300-310K (Ent) / $150-200K base (MM),MM/Ent,San Francisco,Y,,AI-native legal platform,https://job-boards.greenhouse.io/eve/jobs/4299960009
Doppler,29,$220-250K,MM/Ent,San Francisco,Y,,Secrets management,https://jobs.ashbyhq.com/Doppler/1d4d38d5-4501-4c76-91bc-538521020099
Pigment,390,~$200-320K,MM/Ent,Paris / US,Y,,FP&A / business planning SaaS,https://jobs.lever.co/pigment/ffcd4bd3-b8c0-4778-a545-49d70511ed72
Arctic Wolf,899,,Ent (MM-focused),Eden Prairie MN,Y,,MDR / SOC / security ops,https://arcticwolf.wd1.myworkdayjobs.com/External
Honeycomb,177,$274-300K,Ent,San Francisco,Y,81,Observability,https://job-boards.greenhouse.io/honeycomb/jobs/4662407008
Retool,350,$180-350K base,Ent,San Francisco,Y,84,Internal-tools / app dev,https://retool.com/careers/account-executive-enterprise-east--sales--united-states-remote
Apollo GraphQL,183,$110-210K,Ent,San Francisco,Y,76,API / GraphQL platform,https://jobs.ashbyhq.com/apollo-graphql/415db1ad-746c-4384-acda-7caadf5c457b
Monte Carlo,236,$300-350K,Ent,San Francisco,Y,,Data observability / quality,https://jobs.ashbyhq.com/montecarlodata/4a57ba0f-3be5-4138-b863-f8c7a575c3e0
Sigma Computing,581,~$220K,Ent,San Francisco,Y,,Cloud BI / analytics,https://job-boards.greenhouse.io/sigmacomputing/jobs/7767630003
Infisical,19,,MM,San Francisco,Y,,Secrets mgmt / security infra,https://jobs.ashbyhq.com/infisical/1c7943a5-81b9-48dd-a355-bab3492399f1
Accrue,29,$240-320K,Ent,New York,Y,,Payments / branded wallets,https://job-boards.greenhouse.io/accrue/jobs/4497383008
ClickHouse,1050,$280-320K,Ent,Bay Area,Y,,Real-time analytics / OLAP DB,https://job-boards.greenhouse.io/clickhouse/jobs/5800037004
Gong,583,$270-330K,Ent,San Francisco,Y,88,Revenue intelligence / salestech,https://job-boards.greenhouse.io/gongio/jobs/4655626006
Rippling,2400,~$300K,Ent,San Francisco,Y,86,HRIS / HCM + IT/Finance,https://ats.rippling.com/rippling/jobs/0db7c317-22c6-4e86-a67d-09e573ce0d96
Komodo Health,314,$140-180K base+comm,Ent,San Francisco,Y,79,Healthcare data / analytics,https://job-boards.greenhouse.io/komodohealth/jobs/7230255002
Deepgram,215,$300-340K,Ent,San Francisco,Y,96,Voice AI / speech infra,https://jobs.ashbyhq.com/Deepgram/91ea80f4-cc54-4c52-8ef5-d2c2b2764640
Cresta,282,$240-300K,Ent,San Francisco,Y,91,Generative AI for contact centers,https://job-boards.greenhouse.io/cresta/jobs/4494927008
Glean,504,$260-320K,Ent,Palo Alto,Y,80,Enterprise AI assistant / search,https://job-boards.greenhouse.io/gleanwork/jobs/4694661005
Arize AI,131,$250-300K,Ent,Berkeley/SF,Y,87,AI / LLM observability,https://job-boards.greenhouse.io/arizeai/jobs/6098773004
Commure,750,~$300K,Ent,Mountain View,Y,78,AI healthcare ops / RCM,https://jobs.ashbyhq.com/commure/cde9a56a-e907-4277-a9f1-a6b7f9e9ae6e
Keeper Security,60,,Ent,Chicago,Y,,IAM / PAM / secrets mgmt,https://job-boards.greenhouse.io/keepersecurity/jobs/4090345009
Halcyon,209,$280-320K,Ent,Austin,Y,,Anti-ransomware / endpoint,https://job-boards.greenhouse.io/halcyon/jobs/5708979004
GitGuardian,56,$310-340K,Ent (West only),Paris / US,Y,,Secrets detection / DevSecOps,https://careers.gitguardian.com/jobs/7861885-enterprise-account-executive-west
Webflow,336,,MM,San Francisco,Y,,Website builder / digital experience,https://job-boards.greenhouse.io/webflow/jobs/6124408
Writer,369,$340-350K,Ent,San Francisco,Y,,AI enterprise platform,https://jobs.ashbyhq.com/writer/55e79a1b-ca5b-42be-89d6-21409d034713
Amplitude,,,Ent,San Francisco,Y,,Product analytics,https://job-boards.greenhouse.io/amplitude/jobs/8593702002
6sense,,,Ent,San Francisco,Y,,ABM / B2B predictive intelligence,https://job-boards.greenhouse.io/6sense/jobs/5542296
Postman,,$180-230K,MM,San Francisco,Y,,API development platform,https://job-boards.greenhouse.io/postman/jobs/7722321003
LettrLabs,,$245K–$265K,Ent,"Denver, CO",Y,98.05,Professional / Business Services,https://job-boards.greenhouse.io/lettrlabs/jobs/4048815009
Cursor,,,Ent,"San Francisco, CA",Y,98.32,Software,https://jobs.ashbyhq.com/cursor/0ecf8ce6-a31a-410a-a49c-d73e76a94c49
Amplemarket,,,MM,"San Francisco, CA",Y,95.97,Software,https://job-boards.eu.greenhouse.io/amplemarket/jobs/4823568101
Nooks,,$230K,MM,"San Francisco, CA",Y,95.75,Software,https://jobs.ashbyhq.com/nooks/3286a58d-9b83-4243-8e7a-f10576be31df
Maxwell,,$120K–$220K (base $80K–$110K at 1.5–2x),MM,"Denver, CO",Y,95.17,Software (Mortgage Tech SaaS),https://job-boards.greenhouse.io/maxwell/jobs/4683224005
Popl,,Base $180K–$240K + commission (OTE not stated),MM/Ent,"Los Angeles, CA",Y,94.93,Software,https://jobs.ashbyhq.com/popl/a3995bd3-9c3a-4f27-a099-a5b8730bd944
QA Wolf,,$200K–$280K,MM,"San Francisco, CA",Y,94.63,Software,https://jobs.ashbyhq.com/qawolf/0de41761-2f0d-4c6d-8977-e81adf516cd9
Freshpaint,,$300K–$350K,Ent,"San Francisco, CA",Y,94.55,Information Technology and Services,https://jobs.ashbyhq.com/freshpaint/5dc519d9-75b8-4331-8d02-fdf813061a63
UserGems,,$192K,MM,"San Francisco, CA",Y,94.37,Software,https://job-boards.greenhouse.io/usergems/jobs/4277949004
Karbon,,"$212,000",MM,"San Francisco, CA",Y,93.66,Software,https://job-boards.greenhouse.io/karbon/jobs/5794974004
Element451,,,Ent,"Chapel Hill, NC",Y,93.59,Software,https://jobs.ashbyhq.com/element451/3a77c579-edc9-429f-a9d1-7f3c0e081400
Orb,,$200K–$275K,Ent,"San Francisco, CA",Y,93.26,Software,https://jobs.ashbyhq.com/orb/6746b8cc-2438-4f92-8ff3-ec05f9c1ac99
Tremendous,,$160K,MM,"New York, NY",Y,93.16,Software,https://jobs.ashbyhq.com/tremendous/4aee93f6-d28c-4c29-93e1-0440cbac6968
HockeyStack,,"$160,000–$250,000",MM/Ent,"San Francisco, CA",Y,91.65,Software (B2B SaaS - Revenue Attribution / GTM Analytics),https://jobs.ashbyhq.com/hockeystack/ea8c20c1-9d94-4884-ad01-e9f839bd8411
Braintrust.dev,,,Ent,"San Francisco, CA",Y,91.68,Software (B2B SaaS - AI Evaluation Platform),https://jobs.ashbyhq.com/braintrust/1eff314f-8261-484b-9ead-e44646d79003
Workshop,,,MM,"Omaha, NE",Y,91.60,Software,https://job-boards.greenhouse.io/workshop/jobs/5172066007
Scribe,,$220K (50/50 split),MM,"San Francisco, CA",Y,91.16,Software / B2B SaaS,https://jobs.ashbyhq.com/scribe/369a6e96-26df-4c46-b877-0505aabd5dfc
Influ2,,,MM/Ent,"New York, NY",Y,91.11,Software / B2B SaaS,https://jobs.lever.co/influ2/fe5a6607-7f71-4ec2-9fd6-547b77cd4b92
Jellyfish Co,,$280K–$330K (comp range stated; likely OTE),Ent,"Boston, MA",Y,91.15,Software / B2B SaaS,https://jobs.ashbyhq.com/jellyfish/6d08e74c-0866-4b0b-a196-c1ee674bcba1
Tive Inc,,,Ent,"Boston, MA",Y,90.44,Transportation / Supply Chain Visibility,https://ats.rippling.com/tive-careers/jobs/369db993-aacb-428d-bf85-2f35758b2064
Garner Health,,"$200,000–$225,000",MM,"New York, NY",Y,90.11,Health Benefits / B2B SaaS,https://job-boards.greenhouse.io/garnerhealth/jobs/5651451004
Insider One,,$300K,Ent,"Istanbul, Turkey (US remote role)",Y,89.89,MarTech SaaS,https://jobs.lever.co/insiderone/4fbfb579-7cef-4be9-aca5-2a5b87d38f3d
Horizon3.ai,,$180K–$240K,MM/Ent,"San Francisco, CA",Y,89.56,Cybersecurity SaaS,https://jobs.ashbyhq.com/horizon3ai/c72d82d9-ec73-4163-9b8e-00be0623ae44
NeuraFlash,,,MM/Ent,"Needham, MA",Y,89.52,Salesforce/AWS Consulting SaaS,https://job-boards.greenhouse.io/neuraflash/jobs/6013420004
Sprinto,,$140K–$200K,Ent,"San Francisco, CA",Y,89.48,Security Compliance SaaS,https://jobs.lever.co/Sprinto/71158459-781d-43bd-984c-f16af3b503fa
Tekmetric,,,MM,"Austin, TX",Y,89.02,Software,https://job-boards.greenhouse.io/tekmetric/jobs/6016176004
FMX,,,Ent,"Columbus, OH",Y,89.01,Software,https://apply.workable.com/fmx/j/19BF5A3A6E
Balto,,$245K–$255K,MM,"St. Louis, MO",Y,88.93,Software (AI contact center / sales coaching),https://ats.rippling.com/balto/jobs/3c26c96d-3dad-47f1-81c9-5c38095a5e76
Doxel,,$220K–$320K,Ent,"Redwood City, CA",Y,88.88,Software (AI construction tech),https://jobs.lever.co/doxel/ae7d9fa9-7a7e-4060-b810-db04d29aae66
Megaport,,~$300K (market data; not stated in posti,Ent,"Brisbane, Australia (US operations)",Y,88.60,Internet / Network-as-a-Service,https://jobs.lever.co/megaport/c1fd8abd-364c-498a-906d-34ca8d69d1b4
Aligned,,"$220,000",MM,"Wilmington, DE",Y,88.37,Software (B2B SaaS - Digital Sales Rooms),https://job-boards.greenhouse.io/aligned/jobs/4685191101
AlphaSense,,$230K–$280K est. (base $99K–$155K + unca,Ent,"New York, NY",Y,88.24,Software,https://job-boards.greenhouse.io/AlphaSense/jobs/8169790002
Flockjay,,,MM/MM-Ent,"San Francisco, CA",Y,88.22,B2B SaaS (Sales Enablement),https://www.ycombinator.com/companies/flockjay/jobs/Xbe2JkG-account-executive
Creatio,,$240K–$310K,Ent,"Boston, MA",Y,87.88,Software (No-code CRM/BPM SaaS),https://www.creatio.com/company/careers/job-openings/enterprise-account-executive-usa
Stripe,,$239K–$358K,MM/Ent,"San Francisco, CA",Y,87.83,Internet / Fintech SaaS (Payments Infrastruct,https://stripe.com/jobs/search?gh_jid=7298935
Sanity,,,Ent,"San Francisco, CA",Y,87.79,Software (Content Platform SaaS),https://www.sanity.io/careers/ae-usa
Snapdocs,,$250K ($125K base + $125K variable),MM,"San Francisco, CA",Y,87.69,Software (B2B SaaS - mortgage/real estate clo,https://jobs.ashbyhq.com/snapdocs/428f417c-d769-4154-bc24-47f2c727505f
Shift Technology,,Base $130K-$180K + variable (est. OTE $2,Ent,"Paris, France (US ops remote)",Y,87.65,Software (B2B SaaS - AI for insurance),https://job-boards.greenhouse.io/shifttechnology/jobs/4766257003
Yipitdata,,Up to $210K ($125K-$135K base + 100% var,Ent,"New York, NY",Y,87.65,Finance / Data SaaS (alternative data for ent,https://job-boards.greenhouse.io/yipitdata/jobs/5585428
Riskonnect,,~$250K-$265K (base $130K-$135K per RepVu,Ent,"Atlanta, GA",Y,87.72,Software (B2B SaaS - Integrated Risk Manageme,https://careers.ta.com/companies/riskonnect/jobs/37664775-account-executive
Parchment (Instructure),,$180K–$225K,MM,"Salt Lake City, UT",Y,,Software (EdTech SaaS),https://jobs.ashbyhq.com/instructure/01f00df3-de5e-4144-8d89-c2374359d2b2
Rafay,,,Ent,"Sunnyvale, CA",Y,87.36,Software,https://rafay.co/careers/enterprise-account-executive-us-remote
A-LIGN,,,Ent,"Tampa, FL",Y,87.22,Information Technology and Services,https://job-boards.greenhouse.io/ALIGN/jobs/8045085002
Pricefx,,,Ent,"Chicago, IL",Y,87.22,Software,https://careers.jobscore.com/careers/pricefx/jobs/enterprise-account-executive-co-htuQD5p84LpuKVOWVL_
Kyriba,,$265K–$320K (base $147K–$186K),Ent,"San Diego, CA",Y,87.08,Software (treasury/financial SaaS),https://kyriba.wd5.myworkdayjobs.com/en-US/Kyriba-Careers/job/Strategic-Account-Executive_R-06229
