Company,Funding ($M),OTE,Segment,HQ,Remote,RepVue,Industry,Job Posting URL
Singular,,,MM/Ent,"San Francisco, CA",Y,87.05,Software (mobile marketing analytics),https://jobs.ashbyhq.com/singular/2eef2b4a-8db5-4340-a600-050119b35c98
Satori Cyber,,$300K–$320K,Ent,"San Diego, CA",Y,87.08,Software (data security/cybersecurity SaaS),https://satoricyber.com/careers/enterprise-account-executive-locationus-east/
Embrace,,$225K–$300K,MM/Ent,"Los Angeles, CA",Y,86.96,Internet / Mobile Observability SaaS,https://job-boards.greenhouse.io/embrace/jobs/5591155004
Onshape (PTC),,,Ent,"Boston, MA",Y,,CAD / Engineering SaaS,https://ptc.wd1.myworkdayjobs.com/en-US/PTC/job/Strategic-Account-Executive---Onshape_JR110032
Domino Data Lab,,$300K–$350K,Ent,"San Francisco, CA",Y,86.37,Software,https://app.careerpuck.com/job-board/domino-data-lab/job/7815069?gh_jid=7815069
Buildkite,,"$220K–$300K (base $110K–$150K, 50/50 spl",Ent,"Melbourne, Australia",Y,86.34,Software,https://job-boards.greenhouse.io/buildkite/jobs/4951727008
Seso Inc.,,"$180,000–$260,000 OTE uncapped",Ent,"San Francisco, CA",Y,86.27,Software,https://job-boards.greenhouse.io/sesolabor/jobs/4506861005
Taulia,,,Ent,"San Francisco, CA",Y,86.21,Finance / Fintech SaaS,https://careers.taulia.com/job/Regional-Account-Executive-%28Midwest%29/1354118500/
Vertex Inc.,,$160K–$300K,Ent,"King of Prussia, PA",Y,85.83,Software (Tax Technology SaaS),https://builtin.com/company/vertex/jobs
Varicent,,,Ent,"Toronto, Canada",Y,85.76,Software (Sales Performance Management),https://job-boards.greenhouse.io/varicent/jobs/4826237008
FireMon,,,Ent,"Overland Park, KS",Y,85.31,Software (Cybersecurity),https://jobs.lever.co/firemon/c5c7c67f-617d-4740-ba8c-94d071de60ee
AssetWatch,,,MM,"Charlotte, NC",Y,85.24,Manufacturing / IoT SaaS,https://job-boards.greenhouse.io/assetwatch/jobs/4633800005
Crunchtime (Zenput),,$200K–$240K,Ent,"Boston, MA",Y,79.59,Restaurant Operations SaaS,https://boards.greenhouse.io/zenput/jobs/5792748004
Breezeway,,,MM/Ent,"Boston, MA",Y,85.09,Internet / Hospitality SaaS,https://job-boards.greenhouse.io/breezeway/jobs/5231813008
Qualified,,$200K–$250K,MM,"San Francisco, CA",Y,85.04,Software,https://jobs.ashbyhq.com/qualified/59136191-f592-47ab-85e7-644a9cadfd71
Runway,,$250K–$300K,Ent,"New York, NY",Y,84.98,Software,https://jobs.ashbyhq.com/runway-ml/0a79e4be-d7ea-4d43-9400-33a23f552b81
Juniper Square,,,Ent,"San Francisco, CA",Y,85.00,Information Technology and Services,https://jobs.ashbyhq.com/junipersquare/f4864a91-dfc8-47f4-b0af-ae3fb3f65557
Turquoise Health,,$220K–$245K,Ent,"San Diego, CA (fully remote company)",Y,84.93,Healthcare SaaS / Price Transparency,https://jobs.ashbyhq.com/turquoise-health/a25eb0dd-89bd-4a59-94a2-f8439fe3f10b
n8n,,$160-200K,MM,"Berlin, Germany (US remote team)",Y,84.96,Workflow Automation SaaS,https://jobs.ashbyhq.com/n8n/6958f6e4-ea19-4ddd-87df-d96901640e85
Verifiable,,,Ent,"Austin, TX (fully remote)",Y,84.88,Healthcare Credentialing SaaS,https://jobs.lever.co/verifiable/5a01eded-7e4c-473d-8dd5-0711cd08ebb0
Endor Labs,,$240K–$320K,Ent,"Palo Alto, CA",Y,84.84,Software / Application Security,https://job-boards.greenhouse.io/endorlabs/jobs/4704667005
AcuityMD,,"$240,000–$300,000",Ent,"Boston, MA",Y,84.53,Medical Device SaaS,https://job-boards.greenhouse.io/acuitymd/jobs/5722026004
Smartling,,"$200,000–$240,000",Ent,"New York, NY",Y,84.46,Software,https://job-boards.greenhouse.io/smartling/jobs/7438991
OnBoard,,,MM,"Indianapolis, IN",Y,84.83,Software,https://job-boards.greenhouse.io/onboardmeetings/jobs/6098585004
BuildOps,,$280K–$300K,Ent,"Los Angeles, CA",Y,84.75,Software,https://job-boards.greenhouse.io/buildops/jobs/5818344004
Vividly,,$200K,MM/Ent,"San Francisco, CA",Y,84.20,Software,https://ats.rippling.com/vividly/jobs/70e228c8-d43e-49fd-b935-706f43b07323
Bloomerang,,$145K,MM,"Indianapolis, IN",Y,84.14,Software (Nonprofit Donor Management SaaS),https://job-boards.greenhouse.io/bloomerang/jobs/4676861005
Dynatrace,,"~$280K-$384K (base $140K-$192K, ~49/51 s",Ent,"Waltham, MA",Y,83.98,Software,https://www.dynatrace.com/careers/jobs/1358790800/
Tableau (Salesforce),,"Base $77,550-$267,250 (OTE ~$155K-$285K ",MM/Ent,"Seattle, WA",Y,,Software,https://careers.salesforce.com/en/jobs/jr298335/commercialenterprise-account-executive-tableau-tech-mediaconsumer-business-services/
Superside,,~$235K (RepVue median),Ent,"San Francisco, CA",Y,83.87,Professional / Business Services,https://careers.superside.com/jobs/enterprise-account-executive
Figma,,,MM,"San Francisco, CA",Y,83.82,Software,https://job-boards.greenhouse.io/figma/jobs/5422236004
Zapier,,$180-230K,MM,"San Francisco, CA (fully remote)",Y,83.77,Software (Workflow Automation B2B SaaS),https://jobs.ashbyhq.com/zapier/d4576c10-a27e-47fa-a056-30c898b9e672
Contentstack,,~$210K-$260K (base $105K-$130K + variabl,MM,"San Francisco, CA",Y,83.61,Software / Headless CMS SaaS,https://job-boards.greenhouse.io/Contentstack/jobs/7763656003
Datch,,,Ent,"San Francisco, CA",Y,83.60,Software,https://www.datch.io/jobs/account-executive
TrustArc,,,MM/Ent,"San Francisco, CA",Y,83.54,Software (Data Privacy SaaS),https://jobs.lever.co/trustarc/86de7104-e6a0-4a23-953d-7c7b66ac514b
Active Network (Global Payments),,,Ent,"Atlanta, GA",Y,83.46,Software (Recreation Management SaaS),https://jobs.globalpayments.com/en/jobs/r0069162/senior-account-executive-enterprise/
CivicPlus,,$116K–$205K,Ent,"Manhattan, KS",Y,83.42,Information Technology and Services (GovTech ,https://jobs.jobvite.com/civicplus/job/o2vbAfw2
Verse.ai,,$290K–$350K,Ent,"San Francisco, CA",Y,83.34,Energy Intelligence Software (B2B SaaS),https://job-boards.greenhouse.io/verse/jobs/5158103008
Widewail,,$140K,MM,"Burlington, VT",Y,83.25,Software,https://ats.rippling.com/widewail/jobs/c0b9e2d9-98f3-4d39-8a74-430e0eb9e93a
Procore Technologies,,$174K–$240K,MM,"Carpinteria, CA",Y,83.20,Software,https://careers.procore.com/jobs/commercial-account-executive-us-remote-ma-massachusetts-united-states
Obsidian Security,,,Ent,"Newport Beach, CA",Y,83.16,Software,https://job-boards.greenhouse.io/obsidiansecurity/jobs/4822499008
Akamai,,"$157,900–$328,100",Ent,"Cambridge, MA",Y,83.15,Software,https://jobs.akamai.com/en/sites/CX_1/job/1545
Portnox,,,MM/MM-Ent,"Austin, TX (R&D Israel)",Y,83.17,Information Technology and Services,https://portnox.pinpointhq.com/jobs/209552
Datarails,,,MM,New York,Y,83,FP&A software,https://job-boards.greenhouse.io/datarails/jobs/4302569009
Forma.ai,,,Ent,Toronto,Y,83,Sales performance management,https://job-boards.greenhouse.io/formaaiinc/jobs/4295669005
ClickUp,,,Ent,San Diego,Y,83,Productivity / work management,https://jobs.ashbyhq.com/clickup/b7c38a60-b46d-475a-b15b-757421abfc03
Adthena,,,Ent,Austin / London,Y,83,Search intelligence,https://jobs.ashbyhq.com/adthena/29939a07-c944-4535-9252-daae6c2e55d4
CreatorIQ,,,Ent,"Los Angeles, CA",Y,,Software (B2B Influencer Marketing / Creator Intelligence SaaS),https://jobs.ashbyhq.com/creatoriq/123df564-db11-46f0-b59a-0659b1491ce4
ControlUp,,,MM,"Santa Clara, CA",Y,,Software (IT Operations / Digital Employee Experience SaaS),https://jobs.lever.co/controlup/59b39087-15e5-4ea5-ba36-e68e10863053
Smarsh,,,Ent,"Portland, OR",Y,,Compliance archiving B2B SaaS (financial services),https://jobs.lever.co/smarsh/cd0167b4-bdc3-49f6-b215-e267efed3365
Fonoa,,,Ent,"Dublin, Ireland (US remote team)",Y,,Tax automation SaaS,https://jobs.ashbyhq.com/fonoa/17d99b1a-5177-488c-b485-6db96ee02bc6
ID.me,394,$280K-$320K,Ent,"McLean, VA",Y,,Identity verification SaaS,https://job-boards.greenhouse.io/idme/jobs/7675013003
Fieldguide,,$280K-$340K (base $140K-$170K 50/50),Ent,"San Francisco, CA",Y,,Audit/advisory workflow SaaS,https://jobs.ashbyhq.com/fieldguide/577d105c-eba7-4c2d-af9d-3a1cf7a92c3a
Addepar,415,,MM,"Mountain View, CA",Y,,Wealth management / investment data SaaS,https://job-boards.greenhouse.io/addepar1/jobs/8425969002
NinjaOne,231,,Ent (SLED),"Austin, TX",Y,,IT management SaaS (MSP/endpoint),https://jobs.jobvite.com/ninjaone/job/oCanAfwt
Northspyre,,$250K+,Ent,"Atlanta, GA",Y,,Construction / Real Estate Development SaaS,https://job-boards.greenhouse.io/northspyre/jobs/7774971003
Classy.org (GoFundMe Pro),,$135K-$200K,MM,"San Diego, CA",Y,,Nonprofit Fundraising SaaS,https://job-boards.greenhouse.io/gofundme/jobs/7398335
Dovetail,,,MM,"Sydney, Australia",Y,,User research / product insights SaaS,https://jobs.ashbyhq.com/dovetail/f963c62b-100d-47df-b5aa-954464065bb2
DailyPay,,,Ent,"New York, NY",Y,,Earned wage access / HR benefits SaaS,https://jobs.ashbyhq.com/dailypay/85c57e2b-2535-4f66-91b5-d36f71dda1ce
Lumos,,,Ent,"San Francisco, CA",Y,,SaaS management / app governance,https://jobs.ashbyhq.com/lumos/29e2c4e5-d7c8-4e00-9c51-9aad8509a9c3
Fello,,,MM,,Y,,Real estate marketing / CRM SaaS,https://fello.rippling-ats.com/job/776922/senior-account-executive
Pushpay,,$220K-$250K,Ent,"Redmond, WA",Y,,Donor engagement SaaS (faith organizations),https://job-boards.greenhouse.io/pushpay/jobs/7665379
Grace Hill,,$145K,MM,,Y,,Property management SaaS,https://gracehill.applytojob.com/apply/pCSI71nTid/Account-Executive
Rally UXR,,$240-300K,MM/Ent,,Y,,UX research platform,https://jobs.ashbyhq.com/rallyuxr/24ddb09f-bfc3-4d1b-95de-14d7730ade55
Bitwarden,100,,MM,"Santa Barbara, CA",Y,,Security SaaS (password management),https://bitwarden.com/careers/7789818003/?gh_jid=7789818003
Eleos Health,,,Ent,Burlington MA,Y,,Behavioral health SaaS,https://job-boards.eu.greenhouse.io/eleoshealth/jobs/4791600101
Envoy Global,,~$175K,Ent,"Chicago, IL",Y,,Immigration management SaaS,https://job-boards.greenhouse.io/envoyglobalinc/jobs/6000245004
"Tellius, Inc.",,,Ent,,Y,,AI analytics / decision intelligence SaaS,https://job-boards.greenhouse.io/tellius/jobs/4826311007
Later,,$250K–$300K,MM/Ent,"Vancouver, BC",Y,,Influencer marketing / social media SaaS,https://job-boards.greenhouse.io/later/jobs/8206711002
Second Nature,,$175K-$240K,MM,"Salt Lake City, UT",Y,,Property Management SaaS,https://jobs.ashbyhq.com/second-nature/075c6065-93ea-4e5b-bf85-5d8f3e7db167
Visier,,,Ent,"Vancouver, BC",Y,,People analytics SaaS,https://job-boards.greenhouse.io/visiersolutionsinc/jobs/4687378006
DataGrail,,$260K-$290K,Ent,"San Francisco, CA",Y,,Data privacy / compliance SaaS,https://job-boards.greenhouse.io/datagrail/jobs/7778458003
LucidLink,,,Ent,"San Francisco, CA",Y,,Cloud file collaboration SaaS,https://jobs.ashbyhq.com/lucidlink/9bea3123-7388-4163-b833-43d369f2d915
Sendbird,,$260K-$300K,Ent,"San Mateo, CA",Y,,Messaging / chat API SaaS,https://job-boards.greenhouse.io/sendbird/jobs/8387308002
Medallion,,$290-320K,Ent,"San Francisco, CA",Y,,Healthcare SaaS,https://job-boards.greenhouse.io/medallionakafirstlayerai/jobs/4056201009
Agiloft,,,MM,"Redwood City, CA",Y,,Contract lifecycle management (CLM) SaaS,https://jobs.lever.co/agiloft/8541d83d-bf74-4cc8-aaed-35c88a9bf084
Highlight,,$230K-$250K,Ent,,Y,,Consumer Product Research / B2B SaaS,https://jobs.lever.co/Highlight/f8f4e4fb-5b83-4808-9226-1c01c9838eff
Finix,,$200-300K,Ent,,Y,,Software (Payments Infrastructure),https://jobs.lever.co/finix/44827c17-871d-4db4-9fc5-81783971f98b
SentiLink,,$200-250K,MM,,Y,,Software (Identity Verification / Fintech),https://jobs.ashbyhq.com/sentilink/042f6536-1aa2-4509-9a3a-82129fcbbbc3
Teramind,,,MM,,Y,,Software (Cybersecurity / Insider Threat),https://jobs.lever.co/teramind/31ae16da-b776-4232-8a59-67a56811d284
Mimica,,,MM,,Y,,Software (Process Automation / Task Mining),https://jobs.ashbyhq.com/mimica/639bb362-4417-467f-a7fa-525af7d4dcf4
Coupa,,,MM,,Y,,Software (Spend Management),https://jobs.lever.co/coupa/fb0606e0-2d5b-4e47-90b2-b75a56d2c0b0
Restaurant365,,,MM,,Y,,Software (Restaurant Management),https://jobs.lever.co/restaurant365/784eafb3-7f63-4896-8742-03bcdcda19b5
Rithum,,,MM,,Y,,Software (eCommerce / Retail Media),https://job-boards.greenhouse.io/rithum/jobs/8024519
Prokeep,,$225K-$260K,MM/Ent,,Y,,Distribution SaaS (contractor/distributor comm),https://jobs.ashbyhq.com/prokeep/6d82cab8-6d05-4695-a93a-3109d8a73199
Vibes,,base $120K-$240K + comm (OTE unstated),Ent,"Chicago, IL",Y,,Mobile marketing / CX SaaS,https://job-boards.greenhouse.io/vibesllc/jobs/8114692002
doinstruct,18,$200-300K,MM/Ent,Germany (US-remote team),Y,,Frontline workforce training SaaS,https://jobs.ashbyhq.com/doinstruct/0be59ea1-c026-4845-a57b-7fa9ee76a2c7
Taxwire,,$200-250K,MM,"New York, NY",Y,,Indirect tax compliance SaaS,https://jobs.ashbyhq.com/taxwire/c00267d1-544c-4ab6-b677-1d91c6cef21a
Adaptive Security,,,MM/Ent,New York,Y,94.51,Cybersecurity SaaS,https://jobs.ashbyhq.com/adaptivesecurity/84d1c461-df52-443e-b450-370429f9a7c6
Omni,,$175-250K,MM,San Francisco,Y,95.32,Analytics / BI SaaS,https://jobs.ashbyhq.com/omni/21551f45-7485-48a1-8eb5-92994a6c8747
Acceldata,,,Ent,San Jose,Y,93.96,Data observability,https://jobs.lever.co/acceldata/d30b142c-545e-4da7-a370-d9af33261373
